"Pathways"	"Fourth Level"	"Third Level"	"Second Level"	"First Level"
PWY0-1305	Acid-Resistance // GLUTAMATE-DEG	Detoxification // Proteinogenic-Amino-Acids-Degradation	Pathways // Amino-Acid-Degradation	Generalized-Reactions // Degradation
PWY-7670	Antibiotic-Biosynthesis // POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5382	Hydrogen-Oxidation	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	Energy-Metabolism	Pathways
PWY-7428	2-Chloroacrylates-Degradation	CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY-7388	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
GALLATE-DEGRADATION-I-PWY	GALLATE-DEG	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-5832	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-5140	TERPENOPHENOLICS-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7558	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6785	Hydrogen-Production	Energy-Metabolism	Pathways	Generalized-Reactions
PWY18C3-20	BENZENOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
P283-PWY	Hydrogen-Oxidation	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	Energy-Metabolism	Pathways
PWY-5425	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5815	POLYTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7701	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways
PWY-7625	Phosphatidylinositol-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-6744	Hydrogen-Production	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-7534	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
GLUTAMATE-DEG1-PWY	GLUTAMATE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-6512	Hydrogen-Oxidation	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	Energy-Metabolism	Pathways
PWY-8041	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY-8008	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6998	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-5188	Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6030	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-6102	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY-6759	Hydrogen-Production	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-5414	Resin-Acids-Biosynthesis	DITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6197	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY-5390	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5189	Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5393	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
HOMOSERSYN-PWY	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways
PWY-5846	TROPANE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7811	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7512	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY-6780	Hydrogen-Production	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-8040	Antibiotic-Biosynthesis // POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6133	S-Reticuline-Biosynthesis	ISOQUINOLINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN
PWY-4321	GLUTAMATE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-6086	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY66-430	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY18C3-4	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6178	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY-6758	Hydrogen-Production	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6688	HORMONE-DEG	Degradation	Pathways	Generalized-Reactions
PWY-1381	Fluorene-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-7496	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY-6669	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5921	Aminoacyl-tRNAs-Charging	Biosynthesis	Pathways	Generalized-Reactions
PWY-6752	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-5108	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-7823	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY-6580	Phosphatidylinositol-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-6772	Hydrogen-Production	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-7957	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
HISDEG-PWY	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
FLUORENE-DEG-9-ONE-PWY	Fluorene-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-7773	Gamma-Resorcylate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-6085	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWYG-321	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY-6408	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5297	Porphyrin-Compounds-Biosynthesis	Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways
PWY66-377	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-6107	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY-5063	Phytyl-Diphosphate-Biosynthesis	DITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6342	HORMONE-DEG	Degradation	Pathways	Generalized-Reactions
PWY0-1591	Electron-Transfer	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6200	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY-7166	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5194	Porphyrin-Compounds-Biosynthesis	Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways
PWY-8049	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5104	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-5467	INDOLE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY1A0-6325	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7771	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways
PWY-5631	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-3581	S-Reticuline-Biosynthesis	ISOQUINOLINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN
PWY-5028	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY0-1590	Electron-Transfer	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-3261	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-5958	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6313	HORMONE-DEG	Degradation	Pathways	Generalized-Reactions
PWY1YI0-7	Electron-Transfer	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-5773	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7856	HEME-SYN	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Biosynthesis
PWY-7075	AROMATIC-COMPOUNDS-BIOSYN // Interconversion // SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis // Activation-Inactivation-Interconversion	Pathways	Generalized-Reactions
PWY-7943	Olefins-Biosynthesis // TETRATERPENOID-SYN	Carbohydrates-Biosynthesis // Terpenoid-Biosynthesis	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // Biosynthesis
ILEUSYN-PWY	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-8130	5-Deoxyadenosine-Degradation	NUCLEO-DEG	Degradation	Pathways
PWY-6950	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
HISTDEG-PWY	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-7772	Gamma-Resorcylate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
AEROBACTINSYN-PWY	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7335	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-7554	HEME-SYN	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Biosynthesis
PWY-7387	NITROGEN-DEG // Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways
PWY-6064	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6312	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5103	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-6495	INDOLE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5633	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-4984	NITROGEN-DEG	Noncarbon-Nutrients	Degradation	Pathways
PWY-6003	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5038	Caffeine-Biosynthesis	PURINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN
PWY-5031	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-7683	NITROGEN-DEG	Noncarbon-Nutrients	Degradation	Pathways
PWY-7344	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-7604	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6254	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5751	AROMATIC-COMPOUNDS-BIOSYN // PHENYLPROPANOID-SYN	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // Biosynthesis	Generalized-Reactions // Pathways
PWY-5101	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-8131	5-Deoxyadenosine-Degradation	NUCLEO-DEG	Degradation	Pathways
PWY-6606	Guanosine-Nucleotides-Degradation	Purine-Degradation	NUCLEO-DEG	Degradation
PWY-7556	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
HISHP-PWY	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-6967	Methylamine-Degradation	AMINE-DEG	Degradation	Pathways
PWY-7571	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7842	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-6608	Guanosine-Nucleotides-Degradation	Purine-Degradation	NUCLEO-DEG	Degradation
PWY-5034	GIBBERELLIN-SYN	DITERPENOID-SYN // Plant-Hormone-Biosynthesis	Terpenoid-Biosynthesis // HORMONE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis
PWY-5272	Abscisic-Acid-Degradation // Interconversion	PLANT-HORMONE-DEG // Sesquiterpenoid-Degradation // Activation-Inactivation-Interconversion	HORMONE-DEG // TERPENOID-DEG // Pathways	Degradation // SECONDARY-METABOLITE-DEGRADATION // Generalized-Reactions
PWY-7172	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7380	BIOTIN-SYN	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-7672	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6994	Pyrrolysine-Biosynthesis	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-7532	INDOLE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6324	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6607	Guanosine-Nucleotides-Degradation	Purine-Degradation	NUCLEO-DEG	Degradation
PWY-1501	MANDELATE-DEG	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-7015	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5037	Caffeine-Biosynthesis	PURINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN
PWY-5030	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-7090	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY0-1507	BIOTIN-SYN	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6923	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5271	Abscisic-Acid-Degradation	PLANT-HORMONE-DEG // Sesquiterpenoid-Degradation	HORMONE-DEG // TERPENOID-DEG	Degradation // SECONDARY-METABOLITE-DEGRADATION
PWY-6423	Protein-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7713	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-8128	BIOTIN-SYN	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-8088	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
ASPARAGINESYN-PWY	ASPARAGINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-6576	Glycan-Degradation // Glycosaminoglycan-Degradation	Glycan-Pathways // POLYSACCHARIDES-DEG	Pathways // Carbohydrates-Degradation // Polymer-Degradation	Generalized-Reactions // Degradation
PWY-7960	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7767	LEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-6965	Methylamine-Degradation	AMINE-DEG	Degradation	Pathways
PWY-5912	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7331	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-5964	Molybdenum-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6653	GIBBERELLIN-SYN	DITERPENOID-SYN // Plant-Hormone-Biosynthesis	Terpenoid-Biosynthesis // HORMONE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis
PWY-7642	Abscisic-Acid-Degradation	PLANT-HORMONE-DEG // Sesquiterpenoid-Degradation	HORMONE-DEG // TERPENOID-DEG	Degradation // SECONDARY-METABOLITE-DEGRADATION
PWY-7129	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7639	Molybdenum-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-7692	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
ASPARAGINE-BIOSYNTHESIS	ASPARAGINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-6493	INDOLE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7018	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6791	Glycan-Degradation // Xyloglucan-Degradation	Glycan-Pathways // POLYSACCHARIDES-DEG	Pathways // Carbohydrates-Degradation // Polymer-Degradation	Generalized-Reactions // Degradation
PWY-7485	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6427	Rotenoids-Biosynthesis	ISOFLAVONOID-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN
PWY-5076	LEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-8133	Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7334	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-5963	Molybdenum-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6731	Starch-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
PWY-7608	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7640	Abscisic-Acid-Degradation	PLANT-HORMONE-DEG // Sesquiterpenoid-Degradation	HORMONE-DEG // TERPENOID-DEG	Degradation // SECONDARY-METABOLITE-DEGRADATION
PWY-6321	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways
PWY-6265	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6823	Molybdenum-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6724	Starch-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
PWY-5886	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY490-4	ASPARAGINE-SYN // Aminoacyl-tRNAs-Charging	IND-AMINO-ACID-SYN // Biosynthesis	Amino-Acid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions
PWY-6642	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways
PWY-842	Glycan-Degradation // Starch-Degradation	Glycan-Pathways // POLYSACCHARIDES-DEG	Pathways // Carbohydrates-Degradation // Polymer-Degradation	Generalized-Reactions // Degradation
PWY-5491	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation	Pathways
PWY-5935	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5075	LEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
ALKANEMONOX-PWY	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways
PWY-7983	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-8124	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation	Pathways
PWY-6476	Molybdenum-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-7343	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-6737	Starch-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
PWY-7462	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways
P483-PWY	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation	Pathways
PWY-5032	GIBBERELLIN-SYN	DITERPENOID-SYN // Plant-Hormone-Biosynthesis	Terpenoid-Biosynthesis // HORMONE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis
PWY-5260	METHANOGENESIS // Sulfur-Metabolism	ANAEROBIC-RESPIRATION // Noncarbon-Nutrients	Respiration // Degradation	Energy-Metabolism // Pathways
PWY-7805	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation	Pathways
PWY-7710	Molybdenum-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-7192	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6735	Starch-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
PWY-6627	POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
HOMOSER-THRESYN-PWY	THREONINE-BIOSYNTHESIS	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-7898	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways
PWY-5877	INDOLE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7547	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
GLYCOCAT-PWY	Glycan-Degradation // Glycogen-Degradation	Glycan-Pathways // POLYSACCHARIDES-DEG	Pathways // Carbohydrates-Degradation // Polymer-Degradation	Generalized-Reactions // Degradation
PWY-6348	Phosphorus-Compounds	Noncarbon-Nutrients	Degradation	Pathways
PWY-7693	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6425	Rotenoids-Biosynthesis	ISOFLAVONOID-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN
LEU-DEG2-PWY	LEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation
PWY-6044	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways
PWY-8138	Interconversion // Phosphorus-Compounds	Activation-Inactivation-Interconversion // Noncarbon-Nutrients	Pathways // Degradation	Generalized-Reactions // Pathways
PWY-5113	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-7265	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6634	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways
PWY-7530	O-Antigen-Biosynthesis	Glycan-Pathways // Lipopolysaccharide-Biosynthesis	Pathways // Cell-Structure-Biosynthesis	Generalized-Reactions // Biosynthesis
PWY-6397	Cell-Wall-Biosynthesis	Cell-Structure-Biosynthesis	Biosynthesis	Pathways
PWY-5258	METHANOGENESIS // Sulfur-Metabolism	ANAEROBIC-RESPIRATION // Noncarbon-Nutrients	Respiration // Degradation	Energy-Metabolism // Pathways
PWY-7730	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6872	Vitamin-A-Biosynthesis	Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
